iter	Accuracy	Logloss
755	0.9409	0.2540605737
756	0.9413	0.2538960551
757	0.9414	0.2537496109
758	0.9414	0.2535288422
759	0.9416	0.2533589157
760	0.9418	0.2532429455
761	0.942	0.2530845854
762	0.9424	0.2528966636
763	0.9425	0.252536222
764	0.9423	0.2523195105
765	0.9424	0.2520788808
766	0.9424	0.25198804
767	0.9428	0.2518152372
768	0.9429	0.2516446351
769	0.9426	0.2514039563
770	0.9426	0.2512690847
771	0.943	0.2509231849
772	0.9429	0.2506778476
773	0.9429	0.2503199457
774	0.9431	0.2500385988
775	0.9429	0.2498098563
776	0.9432	0.2494809128
777	0.9431	0.2492541078
778	0.9432	0.2489941161
779	0.9432	0.2488872457
780	0.9433	0.2487707357
781	0.9436	0.2484763494
782	0.9437	0.2481780097
783	0.9439	0.2479275315
784	0.9451	0.2475434276
785	0.9451	0.2473892206
786	0.9452	0.2472477699
787	0.9455	0.2470474647
788	0.9456	0.2467734345
789	0.9456	0.2464356181
790	0.9456	0.2463047025
791	0.9458	0.2460766956
792	0.9458	0.2460630676
793	0.9461	0.245831981
794	0.946	0.2456668707
795	0.9463	0.2454505685
796	0.9467	0.245353774
797	0.9465	0.2452028302
798	0.9464	0.2450338983
799	0.9467	0.2449222209
800	0.9466	0.2447468905
801	0.9471	0.2443641332
802	0.9474	0.2441881864
803	0.9469	0.2439679831
804	0.948	0.2435027544
805	0.9477	0.2433455972
806	0.9479	0.2431999654
807	0.9483	0.2429702647
808	0.948	0.2425739329
809	0.9483	0.2424882471
810	0.9483	0.2423801209
811	0.9484	0.2421720038
812	0.9488	0.2420333848
813	0.9488	0.2419384031
814	0.949	0.2417132057
815	0.9491	0.2414710411
816	0.9492	0.2412236225
817	0.9491	0.2409363719
818	0.9492	0.2408278241
819	0.9491	0.2406090693
820	0.9495	0.2404579597
821	0.9494	0.2402873192
822	0.9495	0.2401492726
823	0.9496	0.2398238372
824	0.9498	0.2395567096
825	0.9497	0.2394203086
826	0.9501	0.2392598511
827	0.9501	0.2388917733
828	0.9505	0.2386253655
829	0.9502	0.2383979139
830	0.9504	0.238043416
831	0.9501	0.2378813656
832	0.9507	0.2375986831
833	0.9511	0.2372942779
834	0.9512	0.2371479053
835	0.9514	0.2369344914
836	0.9514	0.2365907283
837	0.9513	0.2364484062
838	0.9512	0.236302616
839	0.9515	0.2361682403
840	0.9519	0.2359400474
841	0.952	0.2358173009
842	0.9521	0.2356083689
843	0.9523	0.2354458238
844	0.9525	0.2352682915
845	0.9528	0.2350695233
846	0.953	0.2348849783
847	0.953	0.2347627289
848	0.953	0.2346311201
849	0.9528	0.2344644777
850	0.9534	0.2341496023
851	0.9535	0.2338902719
852	0.9535	0.2337658329
853	0.9536	0.2334041604
854	0.9539	0.2332460036
855	0.9541	0.2330905607
856	0.9541	0.2329213814
857	0.9541	0.2326819815
858	0.9542	0.232599179
859	0.9545	0.2323903869
860	0.9547	0.2320595818
861	0.9548	0.2317532996
862	0.9548	0.2315525891
863	0.9547	0.2314809665
864	0.9549	0.2312765648
865	0.9549	0.2310709543
866	0.955	0.2309556762
867	0.9551	0.2307398122
868	0.955	0.2305345729
869	0.9551	0.23028167
870	0.9551	0.2302073948
871	0.9554	0.2299887611
872	0.9554	0.2297638328
873	0.9552	0.2296181119
874	0.9556	0.229499337
875	0.9558	0.2292115492
876	0.9563	0.2288929099
877	0.9563	0.2288293983
878	0.9563	0.2285707513
879	0.9562	0.2283678163
880	0.9567	0.2282143384
881	0.9566	0.2280722441
882	0.9569	0.2278410965
883	0.9573	0.2274509999
884	0.9572	0.2271336097
885	0.9574	0.227005506
886	0.9578	0.2267415369
887	0.9579	0.2265811249
888	0.9582	0.2262514597
889	0.9583	0.2260352568
890	0.9584	0.2259312877
891	0.9584	0.2258122284
892	0.9587	0.2256767322
893	0.9584	0.2255481987
894	0.9583	0.2254310284
895	0.9582	0.2252146559
896	0.9588	0.2250030028
897	0.9584	0.2248244877
898	0.9586	0.2246699735
899	0.959	0.2245242034
900	0.9589	0.2243377748
901	0.9588	0.2241822882
902	0.9589	0.2239292949
903	0.959	0.2237192025
904	0.959	0.2234940826
905	0.9589	0.2232800596
906	0.9589	0.2231974515
907	0.9593	0.2229779357
908	0.9594	0.2227890687
909	0.9595	0.2225692806
910	0.9594	0.2224625887
911	0.9597	0.2221772101
912	0.9599	0.2220034589
913	0.96	0.2217690039
914	0.9603	0.2213633971
915	0.9606	0.2212401129
916	0.9611	0.2208988526
917	0.9616	0.2205713765
918	0.9619	0.2202580671
919	0.9618	0.2199953463
920	0.962	0.2198187117
921	0.9622	0.2197121977
922	0.962	0.2194747025
923	0.9621	0.2192726772
924	0.9622	0.2191940927
925	0.9622	0.2191067633
926	0.962	0.2188597774
927	0.9621	0.2186161525
928	0.9622	0.2184452622
929	0.9622	0.218287052
930	0.9623	0.2181973758
931	0.9621	0.2180361291
932	0.9624	0.2178195204
933	0.9623	0.2177593929
934	0.9625	0.2175743791
935	0.9625	0.2175189621
936	0.9628	0.2173311474
937	0.9631	0.2170700536
938	0.9631	0.2168468877
939	0.9635	0.2165844177
940	0.9637	0.2164224729
941	0.9638	0.2162326342
942	0.9639	0.2160726527
943	0.9641	0.2159612576
944	0.964	0.2158304337
945	0.9641	0.2155971613
946	0.9641	0.2153699805
947	0.9641	0.2151818505
948	0.9642	0.2150083667
949	0.964	0.2149203755
950	0.9643	0.2147027091
951	0.9644	0.2144375252
952	0.9645	0.2142223198
953	0.9645	0.214182991
954	0.9645	0.214004112
955	0.9647	0.2137754381
956	0.9651	0.2135915346
957	0.9652	0.2135117559
958	0.9653	0.2133762295
959	0.9656	0.2131179726
960	0.9655	0.2129669595
961	0.9657	0.2127965384
962	0.966	0.2125980672
963	0.966	0.2124708972
964	0.9661	0.2123026125
965	0.9663	0.2121658259
966	0.9662	0.2119900473
967	0.9664	0.2117828563
968	0.9665	0.2116067597
969	0.9665	0.2113323693
970	0.9668	0.2111611317
971	0.9668	0.2109263702
972	0.9668	0.2108151594
973	0.9672	0.2106127726
974	0.9673	0.2104416895
975	0.9675	0.2101363971
976	0.9675	0.2099795025
977	0.9676	0.2098119412
978	0.9677	0.2096862969
979	0.9678	0.2094745165
980	0.9678	0.2093559579
981	0.9679	0.2092161876
982	0.9678	0.2089394703
983	0.9679	0.2086822493
984	0.9678	0.2085071628
985	0.9679	0.2083831823
986	0.9679	0.2082744653
987	0.9681	0.2081432556
988	0.9682	0.2079951763
989	0.9681	0.2078765126
990	0.9681	0.2076531049
991	0.9682	0.2074827081
992	0.9681	0.2072767381
993	0.9682	0.2071630755
994	0.9685	0.2070426918
995	0.9685	0.2068458147
996	0.9685	0.206620216
997	0.9687	0.2063680894
998	0.9686	0.2061259048
999	0.9686	0.2058809226
1000	0.9688	0.205601784
1001	0.9689	0.2053209524
1002	0.9689	0.2051570321
1003	0.9691	0.2050294429
1004	0.9692	0.2049153705
1005	0.9692	0.2048226127
1006	0.9692	0.2046828385
1007	0.9692	0.2044146216
1008	0.9692	0.2042765234
